localidade,data,precipitacao,pressao_atmosferica,radiacao_solar_global,temperatura_bulbo_seco,temperatura_orvalho,umidade_relativa,velocidade_vento
BRASILIA,2019-11-03T00:00:00Z,6.0,885.19,1942.03,23.18,15.0,63.42,3.08
BRASILIA,2019-11-04T00:00:00Z,11.4,884.94,1152.87,22.25,16.56,72.29,1.75
BRASILIA,2019-11-05T00:00:00Z,0.0,885.93,897.96,22.94,15.86,66.04,1.4
BRASILIA,2019-11-06T00:00:00Z,1.4,886.28,1800.55,23.19,16.62,68.75,2.25
BRASILIA,2019-11-07T00:00:00Z,23.4,885.53,907.24,21.94,17.48,77.17,1.69
BRASILIA,2019-11-08T00:00:00Z,0.0,884.03,1494.59,23.51,17.19,69.54,1.63
BRASILIA,2019-11-09T00:00:00Z,0.0,884.54,2003.36,25.7,13.96,52.75,2.91
BRASILIA,2019-11-10T00:00:00Z,0.0,885.45,1711.71,24.99,14.77,55.92,1.71
BRASILIA,2019-11-11T00:00:00Z,0.0,884.71,1677.31,25.15,13.4,51.62,1.64
BRASILIA,2019-11-12T00:00:00Z,0.0,883.93,1914.06,26.61,12.29,44.62,2.4
BRASILIA,2019-11-13T00:00:00Z,0.0,884.72,1922.52,26.83,9.3,33.79,3.01
BRASILIA,2019-11-14T00:00:00Z,0.0,885.02,1400.53,24.92,14.98,55.17,1.85
BRASILIA,2019-11-15T00:00:00Z,0.0,884.11,1400.54,24.35,15.73,60.25,2.31
BRASILIA,2019-11-16T00:00:00Z,0.2,882.66,1382.48,22.62,16.39,69.88,1.97
BRASILIA,2019-11-17T00:00:00Z,66.4,882.97,970.26,21.28,17.07,77.83,1.9
BRASILIA,2019-11-18T00:00:00Z,17.8,886.28,846.66,20.33,17.51,84.46,2.2
BRASILIA,2019-11-19T00:00:00Z,2.4,887.03,1235.21,21.44,17.5,79.83,1.88
BRASILIA,2019-11-20T00:00:00Z,9.4,887.15,1203.78,20.28,16.67,81.08,1.95
BRASILIA,2019-11-21T00:00:00Z,6.2,885.76,1403.46,20.01,15.92,78.5,2.41
BRASILIA,2019-11-22T00:00:00Z,6.4,885.54,1190.41,20.58,16.72,80.25,1.46
BRASILIA,2019-11-23T00:00:00Z,23.8,886.0,1214.31,20.74,17.3,82.17,1.72
BRASILIA,2019-11-24T00:00:00Z,0.8,885.65,1004.64,21.19,17.5,80.67,1.64
BRASILIA,2019-11-25T00:00:00Z,25.6,885.42,881.39,20.26,17.54,85.29,1.28
BRASILIA,2019-11-26T00:00:00Z,0.2,885.15,1462.27,22.12,17.81,77.96,2.0
BRASILIA,2019-11-27T00:00:00Z,6.2,885.64,1137.08,21.95,18.22,80.12,2.55
BRASILIA,2019-11-28T00:00:00Z,0.2,885.18,1353.36,22.28,18.45,79.67,2.41
BRASILIA,2019-11-29T00:00:00Z,0.2,884.8,1876.31,22.99,17.14,72.17,2.62
BRASILIA,2019-11-30T00:00:00Z,3.2,885.91,618.75,21.22,18.68,85.96,1.08
BRASILIA,2019-12-01T00:00:00Z,1.8,886.59,1111.55,22.14,17.7,77.58,1.42
BRASILIA,2019-12-02T00:00:00Z,0.2,885.75,1390.69,22.81,17.22,73.04,2.11
BRASILIA,2019-12-03T00:00:00Z,19.4,884.87,838.34,21.57,18.08,81.33,1.66
BRASILIA,2019-12-04T00:00:00Z,9.4,885.58,1030.58,21.52,18.58,84.5,1.51
BRASILIA,2019-12-05T00:00:00Z,13.8,885.99,1609.92,22.37,18.39,79.83,2.29
BRASILIA,2019-12-06T00:00:00Z,72.4,885.84,1167.51,21.57,18.1,82.33,2.04
BRASILIA,2019-12-07T00:00:00Z,1.4,885.57,766.69,21.18,18.75,86.54,1.75
BRASILIA,2019-12-08T00:00:00Z,11.6,885.26,1025.15,20.94,17.38,81.17,1.54
BRASILIA,2019-12-09T00:00:00Z,0.0,885.64,1422.39,22.11,17.97,79.12,2.18
