localidade,cultura,ano,indicador,custo
PANAMBI,TRIGO,2009,OUTRAS DESPESAS,116.06
PANAMBI,TRIGO,2009,DESPESAS FINANCEIRAS,905.85
PANAMBI,TRIGO,2009,DEPRECIACOES,135.11
PANAMBI,TRIGO,2009,OUTROS CUSTOS FIXOS,54.67
PANAMBI,TRIGO,2009,RENDA DE FATORES,402.13
PANAMBI,TRIGO,2009,PRODUTIVIDADE MEDIA,2100.0
TUPACIRETA,TRIGO,2009,CUSTEIO  DA LAVOURA,761.67
TUPACIRETA,TRIGO,2009,OUTRAS DESPESAS,116.06
TUPACIRETA,TRIGO,2009,DESPESAS FINANCEIRAS,905.85
TUPACIRETA,TRIGO,2009,DEPRECIACOES,135.11
TUPACIRETA,TRIGO,2009,OUTROS CUSTOS FIXOS,54.67
TUPACIRETA,TRIGO,2009,RENDA DE FATORES,402.13
TUPACIRETA,TRIGO,2009,PRODUTIVIDADE MEDIA,2100.0
JULIO DE CASTILHO,TRIGO,2009,CUSTEIO  DA LAVOURA,761.67
JULIO DE CASTILHO,TRIGO,2009,OUTRAS DESPESAS,116.06
JULIO DE CASTILHO,TRIGO,2009,DESPESAS FINANCEIRAS,905.85
JULIO DE CASTILHO,TRIGO,2009,DEPRECIACOES,135.11
JULIO DE CASTILHO,TRIGO,2009,OUTROS CUSTOS FIXOS,54.67
JULIO DE CASTILHO,TRIGO,2009,RENDA DE FATORES,402.13
JULIO DE CASTILHO,TRIGO,2009,PRODUTIVIDADE MEDIA,2100.0
CRUZ ALTA,TRIGO,2010,CUSTEIO  DA LAVOURA,759.78
CRUZ ALTA,TRIGO,2010,OUTRAS DESPESAS,117.07
CRUZ ALTA,TRIGO,2010,DESPESAS FINANCEIRAS,29.49
CRUZ ALTA,TRIGO,2010,DEPRECIACOES,134.78
CRUZ ALTA,TRIGO,2010,OUTROS CUSTOS FIXOS,55.57
CRUZ ALTA,TRIGO,2010,RENDA DE FATORES,401.47
CRUZ ALTA,TRIGO,2010,PRODUTIVIDADE MEDIA,2100.0
PANAMBI,TRIGO,2010,CUSTEIO  DA LAVOURA,759.78
PANAMBI,TRIGO,2010,OUTRAS DESPESAS,117.07
PANAMBI,TRIGO,2010,DESPESAS FINANCEIRAS,29.49
PANAMBI,TRIGO,2010,DEPRECIACOES,134.78
PANAMBI,TRIGO,2010,OUTROS CUSTOS FIXOS,55.57
PANAMBI,TRIGO,2010,RENDA DE FATORES,401.47
PANAMBI,TRIGO,2010,PRODUTIVIDADE MEDIA,2100.0
TUPACIRETA,TRIGO,2010,CUSTEIO  DA LAVOURA,759.78
TUPACIRETA,TRIGO,2010,OUTRAS DESPESAS,117.07
TUPACIRETA,TRIGO,2010,DESPESAS FINANCEIRAS,29.49
TUPACIRETA,TRIGO,2010,DEPRECIACOES,134.78
TUPACIRETA,TRIGO,2010,OUTROS CUSTOS FIXOS,55.57
TUPACIRETA,TRIGO,2010,RENDA DE FATORES,401.47
TUPACIRETA,TRIGO,2010,PRODUTIVIDADE MEDIA,2100.0
JULIO DE CASTILHO,TRIGO,2010,CUSTEIO  DA LAVOURA,759.78
JULIO DE CASTILHO,TRIGO,2010,OUTRAS DESPESAS,117.07
JULIO DE CASTILHO,TRIGO,2010,DESPESAS FINANCEIRAS,29.49
JULIO DE CASTILHO,TRIGO,2010,DEPRECIACOES,134.78
JULIO DE CASTILHO,TRIGO,2010,OUTROS CUSTOS FIXOS,55.57
JULIO DE CASTILHO,TRIGO,2010,RENDA DE FATORES,401.47
JULIO DE CASTILHO,TRIGO,2010,PRODUTIVIDADE MEDIA,2100.0
CRUZ ALTA,TRIGO,2011,CUSTEIO  DA LAVOURA,881.87
CRUZ ALTA,TRIGO,2011,OUTRAS DESPESAS,124.39
CRUZ ALTA,TRIGO,2011,DESPESAS FINANCEIRAS,34.19
CRUZ ALTA,TRIGO,2011,DEPRECIACOES,136.33
CRUZ ALTA,TRIGO,2011,OUTROS CUSTOS FIXOS,57.62
CRUZ ALTA,TRIGO,2011,RENDA DE FATORES,402.04
CRUZ ALTA,TRIGO,2011,PRODUTIVIDADE MEDIA,2100.0
PANAMBI,TRIGO,2011,CUSTEIO  DA LAVOURA,881.87
PANAMBI,TRIGO,2011,OUTRAS DESPESAS,124.39
PANAMBI,TRIGO,2011,DESPESAS FINANCEIRAS,34.19
PANAMBI,TRIGO,2011,DEPRECIACOES,136.33
PANAMBI,TRIGO,2011,OUTROS CUSTOS FIXOS,57.62
PANAMBI,TRIGO,2011,RENDA DE FATORES,402.04
PANAMBI,TRIGO,2011,PRODUTIVIDADE MEDIA,2100.0
TUPACIRETA,TRIGO,2011,CUSTEIO  DA LAVOURA,881.87
